SKU	Plan	Phase	Call Type	Goal	Deliverables	Actionable Items
ALL	ALL	0	Pre-Project Checklist	Ensure the client is introduced and understands the implementation context.	AE intro email delivered.	Send introductory email from AE to client to introduce Gong implementation.
ALL	ALL	0	Pre-Project Checklist	Ensure Gong instance exists and subscription is active.	Active Gong account.	Create Gong account and verify subscription status.
ALL	ALL	0	Pre-Project Checklist	Ensure appropriate admins have access.	Business and technical admins provisioned.	Add users to Gong as business and technical admins.
ALL	ALL	0	Pre-Project Checklist	Align customer on implementation expectations.	Customer informed about implementation scope and timeline.	Send implementation introductory email to customer contacts.
ALL	ALL	0	Pre-Project Checklist	Align internal team on plan.	Internal kickoff scheduled or done asynchronously.	Schedule internal kickoff call or share implementation context with AE/CSM.
ALL	ALL	0	Pre-Project Checklist	Prepare client-facing materials.	Initial implementation slide deck.	Prepare implementation slide deck for customer kickoff.
ALL	ALL	0	Pre-Project Checklist	Ensure deck reflects customer context.	Deck updated with customer specifics.	Update implementation slide deck with info from internal kickoff / handoff.
ALL	ALL	0	Pre-Project Checklist	Align on primary outcome.	Primary outcome documented.	Confirm primary Outcome with customer during kickoff and document in plan.
ALL	ALL	0	Pre-Project Checklist	Establish target go-live.	Go-live date agreed.	Confirm target go-live date with client.
Foundation	Pro	1	Kickoff	Establish foundation for Gong (owners, cadence, governance, privacy).	Confirmed ownership matrix.	Identify core owners by function; confirm which individuals are accountable, responsible, and informed.
Foundation	Pro	1	Kickoff		Cadence framework defined.	Select forecast cadence and implementation rhythm (e.g., weekly sprints; 30-day standard cycle).
Foundation	Pro	1	Kickoff		Access checklist validated.	Verify connection permissions across CRM, email/calendar, meeting platforms, and dialer.
Foundation	Pro	1	Kickoff		Motion map finalized.	Document sales motions and required workflows by motion (New Business, Renewal, Expansion).
Foundation	Pro	1	Kickoff		Governance policy notes.	Review and confirm compliance standards for recording, consent, data residency, and retention.
Foundation	Pro	1	Kickoff		Project calendar.	Book all implementation calls (Foundations, Engage, Forecast, Enablement) and hold times if needed.
Foundation	Pro	1	Kickoff		Success KPI doc.	Align on measurable success criteria by product (Foundations, Engage, Forecast) and document KPIs.
Foundation	Pro	1	Change Management & Discovery	Align on change management approach.	Change management framework notes.	Review the Change Management Framework with customer; understand each team's existing pipeline management and coaching processes.
Foundation	Pro	2	Technical Setup	Connect Gong to core systems and data sources.	CRM sync established.	Connect Gong to CRM via OAuth
Foundation	Pro	2	Technical Setup			test sync
Foundation	Pro	2	Technical Setup			review process of exporting data to CRM
Foundation	Pro	2	Technical Setup			if Salesforce, review Gong for Salesforce managed package.
Foundation	Pro	2	Technical Setup	Connect Gong to core systems and data sources.	Meeting capture verified.	Set up web conferencing systems
Foundation	Pro	2	Technical Setup			configure native integrations (e.g., Zoom) and verify meeting capture.
Foundation	Pro	2	Technical Setup		Calendar and email capture working.	Connect mail/calendar integration
Foundation	Pro	2	Technical Setup			confirm meetings created from email/calendar invites are captured.
Foundation	Pro	2	Technical Setup		Telephony sync verified.	Integrate telephony / dialer
Foundation	Pro	2	Technical Setup			confirm call tracking, user mapping, and recording configuration.
Foundation	Pro	2	Technical Setup		Coverage report.	Review recording coverage report
Foundation	Pro	2	Technical Setup			confirm active recording for all enabled users and adjust as needed.
Foundation	Pro	2	Technical Setup		Backup upload method.	Test manual upload or API-based fallback for non-standard calls or legacy recordings.
Foundation	Pro	3	Privacy Settings	Implement data protection framework.	Consent configuration complete.	Define and apply consent policy
Foundation	Pro	3	Privacy Settings			review recording consent settings in Gong and align by region.
Foundation	Pro	3	Privacy Settings		Retention settings active.	Configure data retention policies in Gong based on legal and security requirements.
Foundation	Pro	3	Privacy Settings		Access matrix in Gong.	Review permission profiles
Foundation	Pro	3	Privacy Settings			assign roles
Foundation	Pro	3	Privacy Settings			confirm data visibility for each persona.
Foundation	Pro	3	Privacy Settings		Compliance by region validated.	Enforce restricted recording rules (users, teams, regions)
Foundation	Pro	3	Privacy Settings			validate compliance with local regulations.
Foundation	Pro	3	Privacy Settings		Admin log validated.	Enable and confirm admin log / audit trail settings in Gong.
Foundation	Pro	4	Customization	Tailor Gong to company process.	Tracker config list.	Review and build out custom Keyword Trackers
Foundation	Pro	4	Customization			enable default Smart Trackers aligned to target outcomes.
Foundation	Pro	4	Customization		Scorecard built.	Build rep-level evaluation scorecards
Foundation	Pro	4	Customization			 review how to use scorecards once they are published.
Foundation	Pro	4	Customization		Admin boards configured.	Create deal review boards (Sales Pipeline, New Business, Renewals)
Foundation	Pro	4	Customization			 configure advanced deal board settings where applicable.
Foundation	Pro	4	Customization		Library organized by team.	Organize call libraries and streams by team/motion
Foundation	Pro	4	Customization			define content sharing rules and permissions.
Foundation	Pro	5	Enablement & Launch	Launch Gong tools and drive adoption.	Launch plan and training delivered.	Deliver role-based training
Foundation	Pro	5	Enablement & Launch			establish champion network
Foundation	Pro	5	Enablement & Launch			announce go-live
Foundation	Pro	5	Enablement & Launch			set up adoption KPIs and dashboards
Foundation	Pro	5	Enablement & Launch			establish change control & governance cadence.
Foundation	QS	1	Kickoff	Establish foundation for Gong (owners, cadence, governance, privacy).	Confirmed ownership matrix.	Identify core owners by function; confirm which individuals are accountable, responsible, and informed.
Foundation	QS	1	Kickoff		Cadence framework defined.	Select forecast cadence and implementation rhythm (e.g., weekly sprints; 30-day standard cycle).
Foundation	QS	1	Kickoff		Access checklist validated.	Verify connection permissions across CRM, email/calendar, meeting platforms, and dialer.
Foundation	QS	1	Kickoff		Motion map finalized.	Document sales motions and required workflows by motion (New Business, Renewal, Expansion).
Foundation	QS	1	Kickoff		Governance policy notes.	Review and confirm compliance standards for recording, consent, data residency, and retention.
Foundation	QS	1	Kickoff		Project calendar.	Book all implementation calls (Foundations, Engage, Forecast, Enablement) and hold times if needed.
Foundation	QS	1	Kickoff		Success KPI doc.	Align on measurable success criteria by product (Foundations, Engage, Forecast) and document KPIs.
Foundation	QS	2	Technical Setup	Connect Gong to core systems and data sources.	CRM sync established.	Connect Gong to CRM via OAuth
Foundation	QS	2	Technical Setup			test sync
Foundation	QS	2	Technical Setup			review process of exporting data to CRM
Foundation	QS	2	Technical Setup			if Salesforce, review Gong for Salesforce managed package.
Foundation	QS	2	Technical Setup		Meeting capture verified.	Set up web conferencing systems
Foundation	QS	2	Technical Setup			configure native integrations (e.g., Zoom) and verify meeting capture.
Foundation	QS	2	Technical Setup		Calendar and email capture working.	Connect mail/calendar integration
Foundation	QS	2	Technical Setup			confirm meetings created from email/calendar invites are captured.
Foundation	QS	2	Technical Setup		Telephony sync verified.	Integrate telephony / dialer
Foundation	QS	2	Technical Setup			confirm call tracking, user mapping, and recording configuration.
Foundation	QS	2	Technical Setup		Coverage report.	Review recording coverage report
Foundation	QS	2	Technical Setup			confirm active recording for all enabled users and adjust as needed.
Foundation	QS	2	Technical Setup		Backup upload method.	Test manual upload or API-based fallback for non-standard calls or legacy recordings.
Foundation	QS	3	Privacy Settings	Implement data protection framework.	Consent configuration complete.	Define and apply consent policy
Foundation	QS	3	Privacy Settings			review recording consent settings in Gong and align by region.
Foundation	QS	3	Privacy Settings		Retention settings active.	Configure data retention policies in Gong based on legal and security requirements.
Foundation	QS	3	Privacy Settings		Access matrix in Gong.	Review permission profiles
Foundation	QS	3	Privacy Settings			assign roles; confirm data visibility for each persona.
Foundation	QS	3	Privacy Settings		Compliance by region validated.	Enforce restricted recording rules (users, teams, regions)
Foundation	QS	3	Privacy Settings			validate compliance with local regulations.
Foundation	QS	3	Privacy Settings		Admin log validated.	Enable and confirm admin log / audit trail settings in Gong.
Foundation	QS	4	Customization	Tailor Gong to company process.	Tracker config list.	Review and build out custom Keyword Trackers
Foundation	QS	4	Customization			enable default Smart Trackers aligned to target outcomes.
Foundation	QS	4	Customization		Admin boards configured.	Create deal review boards (Sales Pipeline, New Business, Renewals)
Foundation	QS	4	Customization			configure advanced deal board settings where applicable.
Foundation	QS	4	Customization		Library organized by team.	Organize call libraries and streams by team/motion
Foundation	QS	4	Customization			define content sharing rules and permissions.
Foundation	QS	5	Enablement & Launch	Launch Gong tools and drive adoption.	Launch plan and training delivered.	Deliver role-based training
Foundation	QS	5	Enablement & Launch			establish champion network
Foundation	QS	5	Enablement & Launch			announce go-live
Foundation	QS	5	Enablement & Launch			set up adoption KPIs and dashboards
Foundation	QS	5	Enablement & Launch			establish change control & governance cadence.
Forecast	Pro	1	Kickoff	Establish foundation for Gong (owners, cadence, governance, privacy).	Confirmed ownership matrix.	Identify core owners by function; confirm which individuals are accountable, responsible, and informed.
Forecast	Pro	1	Kickoff		Cadence framework defined.	Select forecast cadence and implementation rhythm (e.g., weekly sprints; 30-day standard cycle).
Forecast	Pro	1	Kickoff		Project calendar.	Book all implementation calls (Foundations, Engage, Forecast, Enablement) and hold times if needed.
Forecast	Pro	1	Kickoff		Success KPI doc.	Align on measurable success criteria by product (Foundations, Engage, Forecast) and document KPIs.
Forecast	Pro	4	Customization	Tailor Gong to company process.	Admin boards configured.	Create deal review boards (Sales Pipeline, New Business, Renewals)
Forecast	Pro	4	Customization			configure advanced deal board settings where applicable.
Forecast	Pro	2	Discovery	Understand forecast process & needs.	Forecast discovery document.	Hold forecast discovery session(s); map current vs. ideal forecast workflow
Forecast	Pro	2	Discovery			define forecast categories, amounts, close dates, levels, and accuracy/coverage KPIs.
Forecast	Pro	3	Technical Setup	Build forecast boards.	Forecast boards & roles configured.	Confirm CRM sync for forecast fields
Forecast	Pro	3	Technical Setup			apply role-based permissions
Forecast	Pro	3	Technical Setup			set forecast reminder cadence and submission locks
Forecast	Pro	3	Technical Setup			configure warning conditions
Forecast	Pro	3	Technical Setup			build boards by line of business (New Biz, Renewals, Growth).
Forecast	Pro	5	Insights & Analytics	Train leaders to interpret metrics.	Forecast analytics suite.	Configure Trends, Changes, Accuracy, and Pacing reports
Forecast	Pro	5	Insights & Analytics			enable Win/Loss and drivers analytics
Forecast	Pro	5	Insights & Analytics			set up adoption tracking for forecast usage.
